PLAYER,2024/25,2023/24,2022/23,2021/22,2020/21,2019/20,2018/19,2017/18,2016/17,2015/16,2014/15,2013/14,2012/13,2011/12,2010/11,2009/10,2008/09,2007/08,2006/07,2005/06,2004/05,2003/04,2002/03,2001/02,2000/01,1999/00,1998/99,1997/98,1996/97,1995/96,1994/95,1993/94,1992/93,1991/92,1990/91
Stephen Curry,"$55,761,217","$51,915,615","$48,070,014","$45,780,966","$43,006,362","$40,231,758","$37,457,154","$34,682,550","$12,112,359","$11,370,786","$10,629,213","$9,887,642","$3,958,742","$3,117,120","$2,913,840","$2,710,560",,,,,,,,,,,,,,,,,,,
Nikola Jokic,"$51,415,938","$47,607,350","$33,047,803","$31,044,906","$29,542,010","$27,504,630","$25,467,250","$1,471,382","$1,358,500","$1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,
Joel Embiid,"$51,415,938","$47,607,350","$33,616,770","$31,579,390","$29,542,010","$27,504,630","$25,467,250","$6,100,266","$4,826,160","$4,626,960","$4,427,640",,,,,,,,,,,,,,,,,,,,,,,,
Kevin Durant,"$51,179,020","$47,649,433","$44,119,845","$42,018,900","$40,108,950","$37,199,000","$30,000,000","$25,000,000","$26,540,100","$21,971,850","$19,997,513","$18,773,176","$17,548,838","$15,506,632","$6,053,663","$4,796,880","$4,484,040","$4,171,200",,,,,,,,,,,,,,,,,
Bradley Beal,"$50,203,930","$46,741,590","$43,279,250","$33,724,200","$28,751,774","$27,093,018","$25,434,262","$23,775,506","$22,116,750","$5,694,673","$4,505,280","$4,319,280","$4,133,280",,,,,,,,,,,,,,,,,,,,,,
Jaylen Brown,"$49,205,800","$31,830,357","$29,776,785","$26,758,928","$25,035,118","$6,534,829","$5,169,960","$4,956,480","$4,743,000",,,,,,,,,,,,,,,,,,,,,,,,,,
Karl-Anthony Towns,"$49,205,800","$36,016,200","$33,833,400","$31,650,600","$29,467,800","$27,285,000","$7,839,435","$6,216,840","$5,960,160","$5,703,600",,,,,,,,,,,,,,,,,,,,,,,,,
Devin Booker,"$49,205,800","$36,016,200","$33,833,400","$31,650,600","$29,467,800","$27,285,000","$3,314,365","$2,319,360","$2,223,600","$2,055,840",,,,,,,,,,,,,,,,,,,,,,,,,
Paul George,"$49,205,800","$45,640,084","$42,492,492","$39,344,970","$35,450,412","$33,005,556","$30,560,700","$19,300,000","$18,100,000","$16,900,000","$15,800,000","$3,282,003","$2,574,120","$2,406,240","$2,238,360",,,,,,,,,,,,,,,,,,,,
Kawhi Leonard,"$49,205,800","$45,640,084","$42,492,492","$39,344,900","$34,379,100","$32,742,000","$23,114,066","$18,868,625","$17,638,063","$16,407,500","$3,053,368","$1,991,760","$1,861,920","$1,731,960",,,,,,,,,,,,,,,,,,,,,
Jimmy Butler,"$48,798,677","$45,183,960","$37,653,300","$36,016,200","$34,379,100","$32,742,000","$19,841,627","$18,696,918","$17,552,209","$16,407,500","$2,119,214","$1,174,080","$1,097,520","$1,020,960",,,,,,,,,,,,,,,,,,,,,
Damian Lillard,"$48,787,676","$45,640,084","$42,492,492","$39,344,900","$31,626,953","$29,802,321","$27,977,689","$26,153,057","$24,328,425","$4,236,286","$3,340,920","$3,202,920","$3,065,040",,,,,,,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,"$48,787,676","$45,640,084","$42,492,492","$39,344,900","$27,528,088","$25,842,697","$24,157,304","$22,471,911","$2,995,420","$1,953,960","$1,873,200","$1,792,560",,,,,,,,,,,,,,,,,,,,,,,
LeBron James,"$48,728,845","$47,607,350","$44,474,988","$41,180,544","$39,219,566","$37,436,858","$35,654,150","$33,285,709","$30,963,450","$22,970,500","$20,644,400","$19,067,500","$17,545,000","$16,022,500","$14,500,000","$15,779,912","$14,410,581","$13,041,250","$5,828,090","$4,621,800","$4,320,360","$4,018,920",,,,,,,,,,,,,
